seed,n_genes,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_val_loss,test_size,test_positive_samples,test_negative_samples
6,50,0.8888888888888888,0.8863955119214586,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.9593267882187939,0.37821049712322374,54,23,31
7,50,0.8888888888888888,0.8863955119214586,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.9537166900420757,0.525757372379303,54,23,31
8,50,0.8888888888888888,0.8751753155680224,0.9473684210526315,0.782608695652174,0.8571428571428571,0.9663394109396914,0.24125341243214077,54,23,31
9,50,0.9074074074074074,0.9137447405329593,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.9438990182328191,0.4638284135747839,54,23,31
10,50,0.7222222222222222,0.7356241234221599,0.6333333333333333,0.8260869565217391,0.7169811320754716,0.8036465638148668,0.3979327303391916,54,23,31
11,50,0.8333333333333334,0.8380084151472651,0.7692307692307693,0.8695652173913043,0.8163265306122449,0.9256661991584852,0.4394901692867279,54,23,31
12,50,0.8888888888888888,0.8920056100981767,0.84,0.9130434782608695,0.875,0.9453015427769986,0.3318646450837453,54,23,31
13,50,0.8148148148148148,0.8162692847124824,0.76,0.8260869565217391,0.7916666666666666,0.8877980364656382,0.3256618049409654,54,23,31
14,50,0.7962962962962963,0.8113604488078541,0.7,0.9130434782608695,0.7924528301886793,0.9046283309957924,0.48486959492718734,54,23,31
15,50,0.8333333333333334,0.832398316970547,0.7916666666666666,0.8260869565217391,0.8085106382978723,0.9214586255259467,0.19909664091688614,54,23,31
16,50,0.8333333333333334,0.832398316970547,0.7916666666666666,0.8260869565217391,0.8085106382978723,0.9074333800841514,0.3339532944891188,54,23,31
17,50,0.9074074074074074,0.9081346423562412,0.875,0.9130434782608695,0.8936170212765957,0.9298737727910238,0.17756522826298518,54,23,31
18,50,0.8333333333333334,0.8436185133239831,0.75,0.9130434782608695,0.8235294117647058,0.9438990182328191,0.49538551878046105,54,23,31
19,50,0.8333333333333334,0.8436185133239831,0.75,0.9130434782608695,0.8235294117647058,0.9453015427769986,0.2604167128878611,54,23,31
0,100,0.8703703703703703,0.8702664796633941,0.8333333333333334,0.8695652173913043,0.851063829787234,0.9284712482468443,0.2904749402293452,54,23,31
1,100,0.9444444444444444,0.9460028050490883,0.9166666666666666,0.9565217391304348,0.9361702127659575,0.9761570827489481,0.15940425634660102,54,23,31
2,100,0.9074074074074074,0.9137447405329593,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.9635343618513325,0.23913561442384013,54,23,31
3,100,0.9444444444444444,0.9403927068723703,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.994389901823282,0.3467605743143294,54,23,31
4,100,0.8888888888888888,0.8920056100981767,0.84,0.9130434782608695,0.875,0.9607293127629732,0.27855764936517785,54,23,31
5,100,0.9444444444444444,0.9516129032258065,0.8846153846153846,1.0,0.9387755102040817,0.9803646563814866,0.29737258509353354,54,23,31
